Name ImageFile	Set	ImageFile	Set #	Type	Stage	HP	Weakness	Resistance	Retreat Cost	Rarity	Text
Alakazam BS 1	BS	BS_001	#001	Psychic	Stage 2 - Kadabra	80	Psychic x2		3	Rare Holo	Pokemon Power: Damage Swap. As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokemon to another as long as you don't Knock Out that Pokemon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed. | [P][P][P] Confuse Ray: 30 damage. Flip a coin. If heads, the Defending Pokemon is now Confused.
Blastoise BS 2	BS	BS_002	#002	Water	Stage 2 - Wartortle	100	Lightning x2		3	Rare Holo	Pokemon Power: Rain Dance. As often as you like during your turn (before your attack), you may attach 1 [W] Energy card to 1 of your [W] Pokemon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed. | [W][W][W] Hydro Pump: 40+ damage. Does 40 damage plus 10 more damage for each [W] Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra [W] Energy after the 2nd doesn't count.
Chansey BS 3	BS	BS_003	#003	Colorless	Basic	120	Fighting x2	Psychic -30	1	Rare Holo	[C][C] Scrunch: Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. (Any other effects of attacks still happen.) | [C][C][C][C] Double-edge: 80 damage. Chansey does 80 damage to itself.
Charizard BS 4	BS	BS_004	#004	Fire	Stage 2 - Charmeleon	120	Water x2	Fighting -30	3	Rare Holo	Pokemon Power: Energy Burn. As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into [R] Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed. | [R][R][R][R] Fire Spin: 100 damage. Discard 2 Energy cards attached to Charizard in order to use this attack.
Clefairy BS 5	BS	BS_005	#005	Colorless	Basic	40	Fighting x2	Psychic -30	1	Rare Holo	[C] Sing: Flip a coin. If heads, the Defending Pokemon is now Asleep. | [C][C][C] Metronome: Choose 1 of the Defending Pokemon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokemon is, Clefairy's type is still Colorless.)
Gyarados BS 6	BS	BS_006	#006	Water	Stage 1 - Magikarp	100	Grass x2	Fighting -30	3	Rare Holo	[W][W][W] Dragon Rage: 50 damage. | [W][W][W][W] Bubblebeam: 40 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Hitmonchan BS 7	BS	BS_007	#007	Fighting	Basic	70	Psychic x2		2	Rare Holo	[F] Jab: 20 damage. | [F][F][C] Special Punch: 40 damage.
Machamp BS 8	BS	BS_008	#008	Fighting	Stage 2 - Machoke	100	Psychic x2		3	Rare Holo	Pokemon Power: Strikes Back. Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokemon. (Don't apply Weakness and Resistance.) This power can't be used if Machamp is already Asleep, Confused, or Paralyzed when your opponent attacks. | [F][F][F][C] Seismic Toss: 60 damage.
Magneton BS 9	BS	BS_009	#009	Lightning	Stage 1 - Magnemite	60	Fighting x2		1	Rare Holo	[L][L][C] Thunder Wave: 30 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [L][L][C][C] Selfdestruct: 80 damage. Does 20 damage to each Pokemon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokemon.) Magneton does 80 damage to itself.
Mewtwo BS 10	BS	BS_010	#010	Psychic	Basic	60	Psychic x2		3	Rare Holo	[P][C] Psychic: 10+ damage. Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokemon. | [P][P] Barrier: Discard 1 [P] Energy card attached to Mewtwo in order to prevent all effects of attacks, including damage, done to Mewtwo during your opponent's next turn.
Nidoking BS 11	BS	BS_011	#011	Grass	Stage 2 - Nidorino	90	Psychic x2		3	Rare Holo	[G][C][C] Thrash: 30+ damage. Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage and Nidoking does 10 damage to itself. | [G][G][G] Toxic: 20 damage. The Defending Pokemon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn (even if it was already Poisoned).
Ninetales BS 12	BS	BS_012	#012	Fire	Stage 1 - Vulpix	80	Water x2		1	Rare Holo	[C][C] Lure: If your opponent has any Benched Pokemon, choose 1 of them and switch it with his or her Active Pokemon. | [R][R][R][R] Fire Blast: 80 damage. Discard 1 [R] Energy card attached to Ninetales in order to use this attack.
Poliwrath BS 13	BS	BS_013	#013	Water	Stage 2 - Poliwhirl	90	Grass x2		3	Rare Holo	[W][W][C] Water Gun: 30+ damage. Does 30 damage plus 10 more damage for each [W] Energy attached to Poliwrath but not used to pay for this attack's Energy cost. Extra [W] Energy after the 2nd don't count. | [W][W][C][C] Whirlpool: 40 damage. If the Defending Pokemon has any Energy cards attached to it, choose 1 of them and discard it.
Raichu BS 14	BS	BS_014	#014	Lightning	Stage 1 - Pikachu	80	Fighting x2		1	Rare Holo	[L][C][C] Agility: 20 damage. Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Raichu. | [L][L][L][C] Thunder: 60 damage. Flip a coin. If tails, Raichu does 30 damage to itself.
Venusaur BS 15	BS	BS_015	#015	Grass	Stage 2 - Ivysaur	100	Fire x2		2	Rare Holo	Pokemon Power: Energy Trans. As often as you like during your turn (before you attack), you may take 1 [G] Energy card attached to 1 of your Pokemon and attach it to a different one. This power can't be used if Venusaur is Asleep, Confused, or Paralyzed. | [G][G][G][G] Solarbeam: 60 damage.
Zapdos BS 16	BS	BS_016	#016	Lightning	Basic	90		Fighting -30	3	Rare Holo	[L][L][L][C] Thunder: 60 damage. Flip a coin. If tails, Zapdos does 30 damage to itself. | [L][L][L][L] Thunderbolt: 100 damage. Discard all Energy cards attached to Zapdos in order to use this attack.
Beedrill BS 17	BS	BS_017	#017	Grass	Stage 2 - Kakuna	80	Fire x2	Fighting -30	0	Rare	[C][C][C] Twineedle: 30x damage. Flip 2 coins. This attack does 30 damage times the number of heads. | [G][G][G] Poison Sting: 40 damage. Flip a coin. If heads, the Defending Pokemon is now Poisoned.
Dragonair BS 18	BS	BS_018	#018	Colorless	Stage 1 - Dratini	80		Psychic -30	2	Rare	[C][C][C] Slam: 30x damage. Flip 2 coins. This attack does 30 damage times the number of heads. | [C][C][C][C] Hyper Beam: 20 damage. If the Defending Pokemon has any Energy cards attached to it, choose 1 of them and discard it.
Dugtrio BS 19	BS	BS_019	#019	Fighting	Stage 1 - Diglett	70	Grass x2	Lightning -30	2	Rare	[F][F][C] Slash: 40 damage. | [F][F][F][F] Earthquake: 70 damage. Does 10 damage to each of your own Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
Electabuzz BS 20	BS	BS_020	#020	Lightning	Basic	70	Fighting x2		2	Rare	[L] Thundershock: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [L][C] Thunderpunch: 30+ damage. Flip a coin. If heads, this attack does 30 damage plus 10 more damage. If tails, this attack does 30 damage plus Electabuzz does 10 damage to itself.
Electrode BS 21	BS	BS_021	#021	Lightning	Stage 1 - Voltorb	80	Fighting x2		1	Rare	Pokemon Power: Buzzap. At any time during your turn (before your attack), you may Knock Out Electrode and attach it to 1 of your other Pokemon. If you do, choose a type of Energy. Electrode is now an Energy card (instead of a Pokemon) that provides 2 energy of that type. You can't use this power if Electrode is Asleep, Confused, or Paralyzed. | [L][L][L] Electric Shock: 50 damage. Flip a coin. If tails, Electrode does 10 damage to itself.
Pidgeotto BS 22	BS	BS_022	#022	Colorless	Stage 1 - Pidgey	60	Lightning x2	Fighting -30	1	Rare	[C][C] Whirlwind: 20 damage. If your opponent has any Benched Pokemon, he or she chooses 1 of them and switches it with the Defending Pokemon. (Do the damage before switching the Pokemon.) | [C][C][C] Mirror Move: If Pidgeotto was attacked last turn, do the final result of that attack on Pidgeotto to the Defending Pokemon.
