Name ImageFile	Set	ImageFile	Set #	Type	Stage	HP	Weakness	Resistance	Retreat Cost	Rarity	Text
GX gxtoken ,gxback 	Tokens	gxtoken.png,gxback.png	#000
Pikachu WBSP 1	WBSP	WBSP_001	#001	Lightning	Basic	60	Fighting x2		1	Promo	[C] Growl: If the Defending Pokemon attacks Pikachu during your opponent's next turn, any damage done by the attack is reduced by 10 (after applying Weakness and Resistance). (Benching either Pokemon ends this effect.) | [L][L] Thundershock: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Electabuzz WBSP 2	WBSP	WBSP_002	#002	Lightning	Basic	60	Fighting x2		2	Promo	[L] Light Screen: Whenever an attack does damage to Electabuzz (after applying Weakness and Resistance) during your opponent's next turn, that attack only does half the damage to Electabuzz (rounded down to the nearest 10). (Any other effects of attacks still happen.) | [C][C] Quick Attack: 10+ damage. Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.
Mewtwo WBSP 3	WBSP	WBSP_003	#003	Psychic	Basic	70	Psychic x2		2	Promo	[P] Energy Absorption: Choose up to 2 Energy cards from your discard pile and attach them to Mewtwo. | [P][P][C] Psyburn: 40 damage.
Pikachu WBSP 4	WBSP	WBSP_004	#004	Lightning	Basic	50	Fighting x2		1	Promo	[L] Recharge: Search your deck for a [L] Energy card and attach it to Pikachu. Shuffle your deck afterward. | [L][L][L] Thunderbolt: 50 damage. Discard all Energy cards attached to Pikachu in order to use this attack.
Dragonite WBSP 5	WBSP	WBSP_005	#005	Colorless	Stage 2 - Dragonair	90		Fighting -30	2	Promo	Pokemon Power: Special Delivery. Once during your turn (before your attack), you may draw a card. If you do, choose a card from your hand and put it on top of your deck. This power can't be used if Dragonite is Asleep, Confused, or Paralyzed. | [C][C][C] Supersonic Flight: 60 damage. Flip a coin. If tails, this attack does nothing.
Arcanine WBSP 6	WBSP	WBSP_006	#006	Fire	Stage 1 - Growlithe	70	Water x2		1	Promo	[C][C] Quick Attack: 10+ damage. Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage. | [R][R] Flames of Rage: 40+ damage. Discard 2 [R] Energy cards attached to Arcanine in order to use this attack. This attack does 40 damage plus 10 more damage for each damage counter on Arcanine.
Jigglypuff WBSP 7	WBSP	WBSP_007	#007	Colorless	Basic	50	Fighting x2	Psychic -30	1	Promo	[C] First Aid: Remove 1 damage counter from Jigglypuff. | [C][C][C] Double-edge: 40 damage. Jigglypuff does 20 damage to itself.
Mew WBSP 8	WBSP	WBSP_008	#008	Psychic	Basic	50	Psychic x2		1	Promo	[P] Psywave: 10x damage. Does 10 damage times the number of Energy cards attached to the Defending Pokemon. | [P][P] Devolution Beam: Choose an evolved Pokemon (your own or your opponent's). Return the highest Stage Evolution card on that Pokemon to its player's hand. That Pokemon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).
Mew WBSP 9	WBSP	WBSP_009	#009	Psychic	Basic	50	Psychic x2		1	Promo	[P] Psywave: 10x damage. Does 10 damage times the number of Energy cards attached to the Defending Pokemon. | [P][P] Devolution Beam: Choose an evolved Pokemon (your own or your opponent's). Return the highest Stage Evolution card on that Pokemon to its player's hand. That Pokemon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).
Meowth WBSP 10	WBSP	WBSP_010	#010	Colorless	Basic	50	Fighting x2	Psychic -30	1	Promo	[C][C] Cat Punch: Flip a coin. If heads, this attack does 20 damage. If tails and if your opponent has any Benched Pokemon, he or she chooses 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokemon.)
Eevee WBSP 11	WBSP	WBSP_011	#011	Colorless	Basic	30	Fighting x2	Psychic -30	0	Promo	Pokemon Power: Chain Reaction. This power can only be used when a Pokemon evolves. Search your deck for a card that evolves from Eevee and attach it to Eevee. This counts as evolving Eevee. Shuffle your deck afterward. This power can't be used if Eevee is Asleep, Confused, or Paralyzed. | [C] Bite: 20 damage.
Mewtwo WBSP 12	WBSP	WBSP_012	#012	Psychic	Basic	60	Psychic x2		2	Promo	[P] Energy Control: Flip a coin. If heads, choose a basic Energy card attached to 1 of your opponent's Pokemon and attach it to another of your opponent's Pokemon of your choice. | [P][P][P] Telekinesis: Choose 1 of your opponent's Pokemon. This attack does 30 damage to that Pokemon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)
Venusaur WBSP 13	WBSP	WBSP_013	#013	Grass	Stage 2 - Ivysaur	100	Fire x2		2	Promo	Pokemon Power: Solar Power. Once during your turn (before your attack), you may use this power. Your Active Pokemon and the Defending Pokemon are no longer Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Venusaur is Asleep, Confused, or Paralyzed. | [G][G][G][G] Mega Drain: 40 damage. Remove a number of damage counters from Venusaur equal to half the damage done to the Defending Pokemon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Venusaur has fewer damage counters than that, remove all of them.
Mewtwo WBSP 14	WBSP	WBSP_014	#014	Psychic	Basic	70	Psychic x2		2	Promo	[P] Energy Absorption: Choose up to 2 Energy cards from your discard pile and attach them to Mewtwo. | [P][P][C] Psyburn: 40 damage.
Cool Porygon WBSP 15	WBSP	WBSP_015	#015	Colorless	Basic	50	Fighting x2	Psychic -30	1	Promo	[C][C][C] Texture Magic: You may change Cool Porygon's Resistance to a type of your choice other than Colorless. If the Defending Pokemon has a Weakness, you may change it to a type of your choice other than Colorless. (Benching either Pokemon ends the effect on that Pokemon.) | [C][C][C] 3-D Attack: 20x damage. Flip 3 coins. This attack does 20 damage times the number of heads.
Computer Error WBSP 16	WBSP	WBSP_016	#016		Trainer (Rocket's Secret Machine)					Promo	You may draw up to 5 cards, then your opponent may draw up to 5 cards. Your turn is over now (you don't get to attack).
Dark Persian WBSP 17	WBSP	WBSP_017	#017	Colorless	Stage 1 - Meowth	60	Fighting x2	Psychic -30	0	Promo	[C] Tempt: If your opponent has any Benched Pokemon, flip a coin. If heads, choose 1 of your opponent's Benched Pokemon and switch it with the Defending Pokemon. | [C][C] Poison Claws: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Poisoned.
Team Rocket's Meowth WBSP 18	WBSP	WBSP_018	#018	Colorless	Basic	40	Fighting x2	Psychic -30	1	Promo	[C] Miraculous Comeback: Flip a number of coins equal to the number of Pokemon in play. This attack does 10 damage times the number of heads. Then Team Rocket's Meowth does 10 damage times the number of tails to itself.
Sabrina's Abra WBSP 19	WBSP	WBSP_019	#019	Psychic	Basic	40	Psychic x2		0	Promo	[C] Pound: 10 damage. | [P][C] Synchronize: 40 damage. This attack can't be used unless Sabrina's Abra and the Defending Pokemon have the same number of Energy cards attached to them.
Psyduck WBSP 20	WBSP	WBSP_020	#020	Water	Basic	50	Lightning x2		1	Promo	[P] Headache: Your opponent can't play Trainer cards during his or her next turn. | [W] Fury Swipes: 10x damage. Flip 3 coins. This attack does 10 damage times the number of heads.
Moltres WBSP 21	WBSP	WBSP_021	#021	Fire	Basic	70		Fighting -30	1	Promo	[R][R][R] Hyper Flame: 60 damage. Flip a coin. If heads, discard 1 [R] Energy card attached to Moltres. If tails, discard all Energy cards attached to Moltres. If you can't discard Energy cards, this attack does nothing.
Articuno WBSP 22	WBSP	WBSP_022	#022	Water	Basic	70		Fighting -30	1	Promo	[W][W][W] Diamond Dust: Flip a coin. If heads, the Defending Pokemon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
Zapdos WBSP 23	WBSP	WBSP_023	#023	Lightning	Basic	70		Fighting -30	1	Promo	[L][L][L] Lightning Burn: 30 damage. Flip a coin. If heads, and if your opponent has any Benched Pokemon, choose 1 of them. This attack does 30 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) If tails, Zapdos does 30 damage to itself.
Birthday Pikachu WBSP 24	WBSP	WBSP_024	#024	Lightning	Basic	50	Fighting x2		1	Promo	[L][L] Birthday Surprise: 30+ damage. If it's not your birthday, this attack does 30 damage. If it is your birthday, flip a coin. If heads, this attack does 30 damage plus 50 more damage; if tails, this attack does 30 damage.
Flying Pikachu WBSP 25	WBSP	WBSP_025	#025	Lightning	Basic	40		Fighting -30	1	Promo	[L] Thundershock: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [C][C][C] Fly: 30 damage. Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Flying Pikachu; if tails, this attack does nothing (not even damage).
Pikachu WBSP 26	WBSP	WBSP_026	#026	Lightning	Basic	40	Fighting x2		1	Promo	[C] Scratch: 10 damage. | [L][L] Thunderbolt: 40 damage. Discard all Energy cards attached to Pikachu.
Pikachu WBSP 27	WBSP	WBSP_027	#027	Lightning	Basic	30	Fighting x2		0	Promo	[L] Thundershock: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [L][L] Agility: 20 damage. Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Pikachu.
